127.0.0.1 - - [17/Mar/2016:10:43:38 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:43:40 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:43:55 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7013
127.0.0.1 - - [17/Mar/2016:10:43:55 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:43:55 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:43:55 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:43:56 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:43:59 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:44:30 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:44:37 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:44:55 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7157
127.0.0.1 - - [17/Mar/2016:10:44:55 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:44:55 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:44:55 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:44:56 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:44:58 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:45:39 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:45:42 +0800] "GET /webtest/author_ajax.jsp HTTP/1.1" 200 112
127.0.0.1 - - [17/Mar/2016:10:57:31 +0800] "GET /webtest/authority.jsp HTTP/1.1" 200 7253
127.0.0.1 - - [17/Mar/2016:10:57:31 +0800] "GET /webtest/test.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:57:31 +0800] "GET /webtest/search.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2016:10:57:31 +0800] "GET /webtest/image/DNA.jpg HTTP/1.1" 304 -
